,id,filepath,label
0,0,/content/drive/MyDrive/Data/Sad/S 1.mp3,0
1,1,/content/drive/MyDrive/Data/Sad/S 2.mp3,0
2,2,/content/drive/MyDrive/Data/Sad/S 3.mp3,0
3,3,/content/drive/MyDrive/Data/Sad/S 4.mp3,0
4,4,/content/drive/MyDrive/Data/Sad/S 5.mp3,0
5,5,/content/drive/MyDrive/Data/Sad/S 6.mp3,0
6,6,/content/drive/MyDrive/Data/Sad/S 7.mp3,0
7,7,/content/drive/MyDrive/Data/Sad/S 8.mp3,0
8,8,/content/drive/MyDrive/Data/Sad/S 9.mp3,0
9,9,/content/drive/MyDrive/Data/Sad/S 10.mp3,0
10,10,/content/drive/MyDrive/Data/Sad/S 11.mp3,0
11,11,/content/drive/MyDrive/Data/Sad/S 12.mp3,0
12,12,/content/drive/MyDrive/Data/Sad/S 13.mp3,0
13,13,/content/drive/MyDrive/Data/Sad/S 14.mp3,0
14,14,/content/drive/MyDrive/Data/Sad/S 15.mp3,0
15,15,/content/drive/MyDrive/Data/Sad/S 16.mp3,0
16,16,/content/drive/MyDrive/Data/Sad/S 17.mp3,0
17,17,/content/drive/MyDrive/Data/Sad/S 18.mp3,0
18,18,/content/drive/MyDrive/Data/Sad/S 19.mp3,0
19,19,/content/drive/MyDrive/Data/Sad/S 20.mp3,0
20,20,/content/drive/MyDrive/Data/Sad/S 21.mp3,0
21,21,/content/drive/MyDrive/Data/Sad/S 22.mp3,0
22,22,/content/drive/MyDrive/Data/Sad/S 23.mp3,0
23,23,/content/drive/MyDrive/Data/Sad/S 24.mp3,0
24,24,/content/drive/MyDrive/Data/Sad/S 25.mp3,0
25,25,/content/drive/MyDrive/Data/Sad/S 26.mp3,0
26,26,/content/drive/MyDrive/Data/Sad/S 27.mp3,0
27,27,/content/drive/MyDrive/Data/Sad/S 28.mp3,0
28,28,/content/drive/MyDrive/Data/Sad/S 29.mp3,0
29,29,/content/drive/MyDrive/Data/Sad/S 30.mp3,0
30,30,/content/drive/MyDrive/Data/Sad/S 31.mp3,0
31,31,/content/drive/MyDrive/Data/Sad/S 32.mp3,0
32,32,/content/drive/MyDrive/Data/Sad/S 33.mp3,0
33,33,/content/drive/MyDrive/Data/Sad/S 34.mp3,0
34,34,/content/drive/MyDrive/Data/Sad/S 35.mp3,0
35,35,/content/drive/MyDrive/Data/Sad/S 36.mp3,0
36,36,/content/drive/MyDrive/Data/Sad/S 37.mp3,0
37,37,/content/drive/MyDrive/Data/Sad/S 38.mp3,0
38,38,/content/drive/MyDrive/Data/Sad/S 39.mp3,0
39,39,/content/drive/MyDrive/Data/Sad/S 40.mp3,0
40,40,/content/drive/MyDrive/Data/Sad/S 41.mp3,0
41,41,/content/drive/MyDrive/Data/Sad/S 42.mp3,0
42,42,/content/drive/MyDrive/Data/Sad/S 43.mp3,0
43,43,/content/drive/MyDrive/Data/Sad/S 44.mp3,0
44,44,/content/drive/MyDrive/Data/Sad/S 45.mp3,0
45,45,/content/drive/MyDrive/Data/Sad/S 46.mp3,0
46,46,/content/drive/MyDrive/Data/Sad/S 47.mp3,0
